Original,randomforest_optimized,gradientboosting_optimized,stacked_optimized
0.06,0.07228000000000005,0.09041633873247738,0.06141149752969557
0.07,0.07828000000000009,0.09065087282651388,0.062109179960962414
0.07,0.08244000000000005,0.11080962714745274,0.08056664805810436
0.07,0.049720000000000014,0.01350023065375743,0.035390538026517496
0.07,0.045400000000000065,0.034488817274631926,0.030532729428578497
0.08,0.06448,0.055799617110848916,0.055773942687097684
0.09,0.08024000000000003,0.11240055565532817,0.07194779235548202
0.1,0.07468000000000012,0.07106936209820866,0.06662673182785758
0.1,0.046119999999999904,0.053991359306767885,0.039840736072944055
0.11,0.0879999999999999,0.06156283125289715,0.08076777738220664
0.11,0.2500800000000006,0.23705837253111064,0.2027794410957596
0.11,0.07828000000000009,0.09065087282651388,0.07214390475988097
0.12,0.08059999999999991,0.06047819756317948,0.08044710077510628
0.12,0.06703999999999984,0.07603015021409557,0.04568231943723494
0.12,0.052799999999999965,0.013204483365713402,0.03925909537846796
0.12,0.06983999999999985,0.07567209309390646,0.05237251564189538
0.13,0.059800000000000006,0.026316721872312435,0.049082505162237854
0.13,0.04695999999999981,0.011736753644069498,0.033848104196670795
0.14,0.05372000000000003,0.034235793892486356,0.037126732308895904
0.14,0.1255600000000004,0.12444409437176071,0.10336719339719556
0.14,0.03219999999999995,0.022602238694947208,0.030011758449602507
0.15,0.10335999999999983,0.10892709207548529,0.09378193221414238
0.15,0.07140000000000009,0.11775454346432622,0.05671170437878931
0.15,0.10276000000000012,0.06424701666550682,0.10007304793291635
0.15,0.08823999999999997,0.11121341732518789,0.09117962120474181
0.16,0.05763999999999986,0.05933462008140365,0.055403222298421366
0.17,0.039999999999999904,0.05284865137543807,0.04757297416608864
0.17,0.16336000000000078,0.15435500952335707,0.13502627041327742
0.17,0.17800000000000088,0.1621947329601941,0.14185592932904864
0.17,0.2900799999999998,0.28773471943956064,0.25302402750252884
0.18,0.046119999999999994,0.048191328439223316,0.05345048342356758
0.18,0.04724000000000006,0.04724643841463101,0.05304855267979369
